"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: initialCapacity","Param: loadFactor"
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1439.083200,52.176972,"us/op",1000000,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1422.393600,77.603616,"us/op",1000000,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1406.222500,50.203676,"us/op",1048576,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1461.337300,66.419618,"us/op",1048576,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1405.417400,29.598201,"us/op",1048576,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1430.702400,82.794419,"us/op",1048576,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1479.832700,135.158062,"us/op",1048576,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1456.558100,70.239142,"us/op",1048576,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1503.420800,124.447366,"us/op",1048576,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1457.173100,99.608229,"us/op",1048576,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,3025.207700,517.000783,"us/op",2097152,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,3169.627700,584.300335,"us/op",2097152,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,3270.078100,439.954290,"us/op",2097152,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,3198.694300,709.541647,"us/op",2097152,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,3034.850700,491.866481,"us/op",2097152,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,3237.210500,663.647699,"us/op",2097152,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,3104.921800,540.103376,"us/op",2097152,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,2840.586500,149.453015,"us/op",2097152,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,9.463200,18.092160,"us/op",16,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,5.059200,12.704758,"us/op",16,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,2.048400,1.472508,"us/op",16,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,2.549000,2.467884,"us/op",16,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1.891100,2.397678,"us/op",16,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,2.076700,2.785864,"us/op",16,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,4.076800,12.389247,"us/op",16,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1.863000,2.341896,"us/op",16,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,1.816900,2.034209,"us/op",100,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,6.585100,12.269631,"us/op",100,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.putPoorHashCode","ss",1,10,3.358300,3.027257,"us/op",100,0.375
